1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Random,Tubers,Smooth,Black,N/A,Smooth,Red,N/A,Smooth,Yellow & Blue,Stripes,Broad,Branch Points,Falcate (Sickle),Lobate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Green,N/A,Seeds,Grain,Gravity,Compound,Disc,Avg. (1-5cm),Wavy,Velvety,Regular Interval,Musky,Perennial (Yearly),Smooth,Orange,Solid,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Tincture,Depressant,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Uncommon,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Random,Tap,Scaly,Copper,N/A,Scaly,Orange,N/A,Waxy,Brown,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base),Serate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Flaky,Green,N/A,Seeds,Nut,Wind,Pairs,Complex,Avg. (1-5cm),Curly,Smooth,Regular Interval,Sweet,Annual (Once),Smooth,Copper,Luminescent,1-3,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Decoction,Cardiac,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Juice,Purgative,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Tap,Smooth,Green,N/A,Smooth,Orange,N/A,Rough,Grey,N/A,Broad,Branch Points,Hastatae (Triangular Basal Lobes),Serate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Scaly,Yellow,N/A,Suckers,Fruit,Animal,Pairs,Funnel,Avg. (1-5cm),Wavy,Velvety,Terminal,None,Perennial (Yearly),Other,Green,Blushed & Spotted,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Hepatic,Medicinal / Other,Poultice,Coagulant,Medicinal / Other,Ointment,Antitussive,N/A,N/A,N/A,Edible,Blanched,N/A,Nutritious / Tasty,Ground,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Waxy,Green,N/A,Smooth,Yellow,N/A,Scaly,Red,N/A,Broad,Branch Points,Pinnatisect (Deep Opposite Lobing),Serate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Other,Green,N/A,Budding / Fragmentation,Grain,Animal,Compound,Sphere,Avg. (1-5cm),Toothed,Waxy,Terminal,Sweet,Poly-Annual (2-7 Years),Waxy,Brown,Solid,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Vapor / Smoke,Refridgerant,Medicinal / Other,Tincture,Hallucinogen,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Extract,Febrifuge,Medicinal / Other,Poultice,Vulnerary,
Herbaceous,Terrestrial,Forest / Jungle & Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Ordered,Tap,Scaly,Brown,N/A,Smooth,Green & Grey,Iridescent & Phases,Smooth,Yellow,N/A,Blades,Terminal,Rhomboid (Diamond),Smooth,Sticky,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Green,N/A,Suckers,Grain,Gravity,Other,Funnel,Huge (>10cm),Curly,Dusty,Terminal,Sweet,Poly-Annual (2-7 Years),Smooth,Gold,Mottled,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Large Patch (120+),Large (1-10m),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Rough,Blue,N/A,Other,Green & Grey,Stripes,Compound,Stem / Trunk,Palmate (Hand-Like),Serate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Brown,N/A,Budding / Fragmentation,Spore,Animal,Compound,Sphere,Avg. (1-5cm),Round,Veined,Regular Interval,Sweet,Annual (Once),Smooth,Green,Mottled & Night Closing,10+,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Wash,Soporific,Edible,Steeped,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle & Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Ordered,Tubers,Waxy,Orange,N/A,Waxy,Black,N/A,Smooth,Green,N/A,Compound,Stem / Trunk,Lanceolate (Pointed at Both Ends),Smooth,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Violet,N/A,Seeds,Spore,Animal,Single,Complex,Avg. (1-5cm),Wavy,Hairy,Random Interval,Foul,Other,Smooth,Red,Stripes,1-3,5+,Predaceous,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Hallucinogen,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Small Patch (1-12),Large (1-10m),Stem / Trunk,Random,Fibrous,Smooth,Black,N/A,Smooth,Orange,N/A,Smooth,Silver,N/A,Compound,Regular Interval,Palmate (Hand-Like),Undulate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Other,Red,N/A,Suckers,Grain,Animal,Spray,Bell,Small (5-10mm),Thread,Smooth,Terminal,Sweet,Annual (Once),Smooth,Green,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Syrup,Nauseant,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Very Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Bulb,Smooth,Brown,N/A,Smooth,Grey & Yellow,Stripes,Smooth,Orange,N/A,Broad,Stem / Trunk,Pedate (Palmate Divided Latteral Lobes),Lobate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Smooth,Brown,N/A,Budding / Fragmentation,Grain,Wind,Other,Funnel,Small (5-10mm),Blade,Smooth,Stem / Trunk,Foul,Annual (Once),Smooth,Brown,Night Blooming,10+,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Vesicant,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Depurative,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Ordered,Fibrous,Waxy,Yellow,N/A,Scaly,Yellow,N/A,Flaky,Green,N/A,Compound,Regular Interval,Acuminate (Taper to Long Point),Crenate,VelvetyDusty,None,Pairs (2),Waxy,Brown,N/A,Seeds,Nut,Animal,Bunches,Bell,Huge (>10cm),Blade,Smooth,Regular Interval,None,Perennial (Yearly),Rough,Green,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Decoction,Aromatic,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Hills / Scrub & Forest / Jungle,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk & Multiple Stems / Trunks,Random,Rhizoid,Smooth,Silver,N/A,Waxy,Silver,N/A,Smooth,Silver,N/A,Broad,Random Interval,Spatulate (Spoon),Sinuate,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Waxy,Grey,N/A,Seeds,Spore,Animal,Spray,Sphere,Small (5-10mm),Thread,Sticky,Branch Points,Other / Specific,Perennial (Yearly),Smooth,Copper,Solid,10+,1,Parasitic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Depressant,Edible,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Huge (>10m),Stem / Trunk,Radial,Rhizoid,Waxy,Green,N/A,Smooth,Yellow,N/A,Waxy,Yellow,N/A,Compound,Terminal,Palmate (Hand-Like),Ciliate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Rough,Gold,N/A,Budding / Fragmentation,Fruit,Animal,Pairs,Complex,Huge (>10cm),Oval,Veined,Random Interval,Sweet,Annual (Once),Smooth,Green,Stripes,4-9,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Aphrodesiac,Edible,Roasted,N/A,Edible,Steeped,N/A,Medicinal / Other,Cold Extract,Appetizer,Medicinal / Other,Ointment,Antiseptic,Nutritious / Tasty,Ground,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Rhizoid,Smooth,White & Green,Solid,Smooth,Green,N/A,Waxy,Violet,N/A,Compound,Branch Points,Hastatae (Triangular Basal Lobes),Sinuate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Other,Green,N/A,Seeds,Grain,Gravity,Spray,Complex,Large (5-10cm),Blade,Veined,Terminal,Sweet,Poly-Annual (2-7 Years),Smooth,Copper,Luminescent,10+,5+,Other,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Poison,Medicinal / Other,Re-Roll,Antitussive,
Herbaceous,Sub-Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Small (5-25cm),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Other,Green,N/A,Smooth,Green,N/A,Needles,Stem / Trunk,Lobed (Deeply Indented Margins),Lobate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Smooth,Yellow & Green,Mottled,Seeds,Grain,Animal,Compound,Disc,Huge (>10cm),Oval,Velvety,Regular Interval,Sweet,Poly-Annual (2-7 Years),Scaly,Violet,Blushed,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Euphoriant,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Random,Tap,Smooth,Green,N/A,Smooth,Brown,N/A,Smooth,Yellow,N/A,Broad,Regular Interval,Obcordate (Heart Stem at Point),Serrulate,Sticky,Parallel (Veins Arranged Axially Not Intersecting) & Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Flaky,Green,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Predaceous,None,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Diaphoretic,Nutritious / Tasty,Dried,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Common,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Random,Fibrous,Scaly,Copper,N/A,Smooth,Orange,N/A,Smooth,Red,N/A,Blades,Random Interval,Reniform (Kidney),Serate,VelvetyDusty,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Smooth,Grey,N/A,Suckers,Grain,Wind,Bunches,Cone,Large (5-10cm),Round & Wavy,Dusty,Stem / Trunk,Foul,Poly-Annual (2-7 Years),Flaky,Gold,Night Blooming,10+,1,Decay,Heat,Non-Sentient,N/A,Medicinal / Other,Fomentation,Wax,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,Medicinal / Other,Bath,Adjuvant,
Herbaceous,Aquatic,Fresh Water,Very Rare,Large Patch (120+),Large (1-10m),Stem / Trunk,Random,Bulb,Rough,Black,N/A,Waxy,Green,N/A,Smooth,Yellow,N/A,Broad,Regular Interval,Obovate (Egg Narrow at Base),Smooth,Smooth,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Smooth,Green,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Antiscrufulous,Medicinal / Other,Tincture,Cardiac,Nutritious / Tasty,Raw,N/A,
Algae,Aquatic,Fresh Water,Rare,Medium Patch (12-120),Large (1-10m),Colonial Mass,Ordered,Advantageous,Scaly,Green,N/A,Smooth,Yellow,N/A,Smooth,Brown,N/A,Scales,Random Interval,Cuneate (Wedge Accute Base),Sinuate,VelvetyDusty,None,Clusters (6+),Smooth,Copper,N/A,Budding / Fragmentation,Spore,Wind,Pairs,Funnel,Huge (>10cm),Blade,Velvety & Sticky,Regular Interval,Sweet,Perennial (Yearly),Smooth,Grey,Solid,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Radial,Tubers,Rough,Brown,N/A,Waxy,Brown,N/A,Rough,Brown,N/A,Broad,Terminal,Lobed (Deeply Indented Margins),Dentate,Hairy,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Rough,White,N/A,Seeds,Nut,Animal,Pairs,Funnel,Large (5-10cm),Wavy & Wavy,Hairy,Terminal,None,Annual (Once),Rough,Orange,Iridescent,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Blanched,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Ordered,Tap,Flaky,Yellow,N/A,Waxy,Copper,N/A,Smooth,Black,N/A,Broad,Regular Interval,Hastatae (Triangular Basal Lobes),Serate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Smooth,Blue,N/A,Seeds,Fruit,Animal,Spray,Disc,Small (5-10mm),Curly,Hairy,Random Interval,Sweet,Perennial (Yearly),Waxy,Green,Night Blooming,10+,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Extract,Disinfectant,Edible,Dried,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Edible,Steeped,N/A,
Fungus,Aquatic,Fresh Water,Very Common,Small Patch (1-12),Tiny (<5cm),Creeper Vine,None,Rhizoid,Scaly,Black & Red,Iridescent,Smooth,Silver,N/A,Rough,Green,N/A,Broad,Terminal,Cuneate (Wedge Accute Base),Lobate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Brown,N/A,Seeds,Grain,Animal,Spray,Cone,Avg. (1-5cm),Curly,Smooth,Random Interval,Foul,Perennial (Yearly),Smooth,Brown,Solid,10+,2-4,Decay,Light,Non-Sentient,N/A,Edible,Ground,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Ground,Bitter,
Fungus,Terrestrial,Forest / Jungle,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Rhizoid,Rough,Violet,N/A,Smooth,Orange,N/A,Smooth,Black,N/A,Blades,Terminal,Rhomboid (Diamond),Serrulate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Smooth,Black,N/A,Seeds,Spore,Wind,Compound,Cone,Avg. (1-5cm),Curly,Veined,Branch Points,Foul,Poly-Annual (2-7 Years),Smooth,Yellow & Green,Solid,1-3,0,Decay,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Juice,Stomachic,Edible,Steeped,N/A,
Fungus,Terrestrial,Forest / Jungle,Uncommon,Large Patch (120+),Tiny (<5cm),Multiple Stems / Trunks,None,Fibrous,Smooth,Green & Green,Spotted,Other,Silver,N/A,Flaky,Green,N/A,Blades,Terminal,Elliptic (Oval Small or No Point),Lobate,Smooth,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Smooth,Grey,N/A,Seeds,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Mobile,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Fomentation,Antiseptic,
Herbaceous,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Green,N/A,Smooth,Yellow,N/A,Smooth,Brown,N/A,Broad,Terminal,Cordate (Heart Stem in Cleft),Lobate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Brown,N/A,Seeds,Fruit,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Dried,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Radial,Advantageous,Waxy,Gold,N/A,Flaky,Red,N/A,Rough,Green,N/A,Broad,Terminal,Rhomboid (Diamond),Smooth,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Flaky,Brown,N/A,Seeds,Nut,Animal,Pairs,Funnel,Avg. (1-5cm),Wavy,Waxy,Terminal,Sweet,Perennial (Yearly),Waxy,Yellow,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Desert / Waste,Very Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Tubers,Smooth,Green,N/A,Waxy,White,N/A,Other,Brown,N/A,Compound,Branch Points,Ovate (Egg Wide at Base),Undulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Waxy,Black,N/A,Seeds,Spore,Animal,Other,Spike,Tiny (<5mm),Wavy,Sticky,Branch Points,Sweet,Annual (Once),Scaly,White,Spotted,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Ground,N/A,Nutritious / Tasty,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Tincture,Errihine,
Woody,Aquatic,Fresh Water,Very Common,Large Patch (120+),Tiny (<5cm),Creeper Vine,Radial,Fibrous,Waxy,Violet,N/A,Scaly,Grey,N/A,Smooth,Brown,N/A,Compound,Terminal,Rhomboid (Diamond),Lobate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Waxy,Silver,N/A,Seeds,Fruit,Animal,Spray,Cone,Tiny (<5mm),Round & Feathery,Hairy,Regular Interval,Sweet,Poly-Annual (2-7 Years),Scaly,Green,Iridescent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Waxy,Green,N/A,Smooth,White,N/A,Smooth,White,N/A,Compound,Branch Points,Obtuse (Bluntly Tipped),Undulate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Pairs (2),Rough,Grey,N/A,Budding / Fragmentation,Grain,Gravity,Spray,Spike,Tiny (<5mm),Blade,Dusty & Velvety,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Brown,Mimicry,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Bath,Aphrodesiac,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Euphoriant,Non-Edible,N/A,N/A,
Woody,Terrestrial,Desert / Waste,Uncommon,Large Patch (120+),Average (25cm-1m),Creeper Vine,Ordered,Tap,Scaly,Copper,N/A,Other,Green,N/A,Rough,Green,N/A,Broad,Regular Interval,Poly-Foliate (2-7 Leaflets),Sinuate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Waxy,Gold,N/A,Seeds,Fruit,Water,Spray,Bell,Avg. (1-5cm),Feathery & Blade,Hairy,Regular Interval,Musky,Poly-Annual (2-7 Years),Scaly,Brown,Spotted,4-9,2-4,Other,Gravity,Non-Sentient,N/A,Medicinal / Other,Wash,Deodorant,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Essence,Emollient,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Blanched,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tap,Waxy,Gold,N/A,Smooth,Green,N/A,Other,Yellow,N/A,Broad,Stem / Trunk,Subulate (Awl),Sinuate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Red,N/A,Seeds,Spore,Animal,Single,Cone,Avg. (1-5cm),Curly,Sticky,Regular Interval,Foul,Annual (Once),Flaky,Green,Spotted,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Wash,Diaphoretic,Medicinal / Other,Essence,Depurative,
Woody,Terrestrial,Marsh / Swamp / Bog,Uncommon,Small Patch (1-12),Huge (>10m),Stem / Trunk,Random,Advantageous,Smooth,White,N/A,Smooth,Yellow,N/A,Scaly,White,N/A,Needles,Branch Points,Hastatae (Triangular Basal Lobes),Sinuate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Scaly,White,N/A,Seeds,Spore,Wind,Pairs,Cone,Avg. (1-5cm),Blade & Toothed,Sticky,Random Interval,Other / Specific,Poly-Annual (2-7 Years),Smooth,Green,Solid,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Rhizoid,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Branch Points,Obovate (Egg Narrow at Base),Crenate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Yellow,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Vapor / Smoke,Depressant,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Tincture,Digestive,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Common,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Waxy,Copper,N/A,Waxy,Blue,N/A,Smooth,Green,N/A,Compound,Regular Interval,Reniform (Kidney),Undulate,VelvetyDusty & Re-Roll,Reticulate (Smaller Veins Forming a Network),Singles (1),Smooth,Brown,N/A,Seeds,Grain,Wind,Spray,Bell,Small (5-10mm),Blade,Scaly,Branch Points,Musky,Perennial (Yearly),Waxy,Red,Blushed,10+,2-4,Parasitic,Light,Non-Sentient,N/A,Medicinal / Other,Ointment,Restorative,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Raw,N/A,
